timestamp,sample_rate,frame_size,rms,peak,mean,std,zero_crossings
0.0,8000,320,0.01271054707467556,0.0321044921875,0.0005767822149209678,0.012697454541921616,57
0.04,8000,320,0.010044269263744354,0.0360107421875,-0.0005306244129315019,0.01003024261444807,69
0.08,8000,320,0.009043656289577484,0.0208740234375,0.0002304077206645161,0.009040720760822296,47
0.12,8000,320,0.010175205767154694,0.0281982421875,0.0005290984991006553,0.010161438956856728,78
0.16,8000,320,0.009056255221366882,0.0257568359375,0.0003597259637899697,0.009049107320606709,54
0.2,8000,320,0.010175427421927452,0.0281982421875,-0.0014785766834393144,0.010067429393529892,43
0.24,8000,320,0.00913024041801691,0.0340576171875,0.00063323974609375,0.009108253754675388,53
0.28,8000,320,0.009963643737137318,0.0281982421875,0.0003360748232807964,0.009957973845303059,59
0.32,8000,320,0.0087279686704278,0.0281982421875,0.000732421875,0.00869718287140131,62
0.36,8000,320,0.011299272999167442,0.0281982421875,-0.0003131866396870464,0.01129493210464716,45
0.4,8000,320,0.008742604404687881,0.0257568359375,-0.0012844086159020662,0.008647740818560123,61
0.44,8000,320,0.007516894955188036,0.0238037109375,-5.645752025884576e-05,0.007516683079302311,56
0.48,8000,320,0.010810205712914467,0.0281982421875,3.013610876223538e-05,0.01081016380339861,43
0.52,8000,320,0.011857777833938599,0.0301513671875,0.002674102783203125,0.011552317999303341,39
0.56,8000,320,0.009863524697721004,0.0281982421875,-0.0018737793434411287,0.009683907963335514,53
0.6,8000,320,0.009747636504471302,0.0321044921875,-0.0002120971621479839,0.009745328687131405,49
0.64,8000,320,0.008291514590382576,0.0189208984375,0.0001548767031636089,0.008290067315101624,58
0.68,8000,320,0.010240307077765465,0.0247802734375,-0.0009647369151934981,0.010194762609899044,34
0.72,8000,320,0.008852139115333557,0.0281982421875,-0.0004371643008198589,0.008841337636113167,60
0.76,8000,320,0.010022947564721107,0.0340576171875,0.0032939910888671875,0.009466208517551422,50
0.8,8000,320,0.01348264329135418,0.0457763671875,-0.0031211853493005037,0.013116397894918919,43
0.84,8000,320,0.011902444064617157,0.0340576171875,5.302429053699598e-05,0.01190232578665018,50
0.88,8000,320,0.011091773398220539,0.0379638671875,-0.0012214661110192537,0.011024312116205692,39
0.92,8000,320,0.01823953539133072,0.0438232421875,0.0031005858909338713,0.017974065616726875,32
0.96,8000,320,0.010534681379795074,0.0281982421875,-6.446838233387098e-05,0.010534483939409256,53
1.0,8000,320,0.008516976609826088,0.0247802734375,-0.0004497528134379536,0.008505093865096569,39
1.04,8000,320,0.012997901998460293,0.0379638671875,-7.095337059581652e-05,0.012997708283364773,47
1.08,8000,320,0.008772795088589191,0.0228271484375,-0.0009288787841796875,0.008723480626940727,57
1.12,8000,320,0.0080256387591362,0.0321044921875,0.0008579253917559981,0.007979651913046837,64
